 1 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.96
 1 threads :       10 trials ; probability =  40.00% ; megatrials/sec =   6.78
 1 threads :      100 trials ; probability =   9.00% ; megatrials/sec =  10.03
 1 threads :     1000 trials ; probability =   7.50% ; megatrials/sec =  11.02
 1 threads :    10000 trials ; probability =   7.30% ; megatrials/sec =  11.06
 1 threads :   100000 trials ; probability =   7.00% ; megatrials/sec =  11.07
 1 threads :   500000 trials ; probability =   7.06% ; megatrials/sec =  11.07
 1 threads :  1000000 trials ; probability =   7.12% ; megatrials/sec =  10.99
 2 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.52
 2 threads :       10 trials ; probability =  30.00% ; megatrials/sec =   5.62
 2 threads :      100 trials ; probability =   6.00% ; megatrials/sec =  15.40
 2 threads :     1000 trials ; probability =   6.90% ; megatrials/sec =  21.57
 2 threads :    10000 trials ; probability =   6.89% ; megatrials/sec =  21.83
 2 threads :   100000 trials ; probability =   7.14% ; megatrials/sec =  21.71
 2 threads :   500000 trials ; probability =   7.03% ; megatrials/sec =  22.09
 2 threads :  1000000 trials ; probability =   7.07% ; megatrials/sec =  21.27
 4 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.54
 4 threads :       10 trials ; probability =  30.00% ; megatrials/sec =   5.72
 4 threads :      100 trials ; probability =  11.00% ; megatrials/sec =  22.54
 4 threads :     1000 trials ; probability =   7.90% ; megatrials/sec =  30.19
 4 threads :    10000 trials ; probability =   7.46% ; megatrials/sec =  37.74
 4 threads :   100000 trials ; probability =   7.11% ; megatrials/sec =  41.11
 4 threads :   500000 trials ; probability =   7.08% ; megatrials/sec =  43.20
 4 threads :  1000000 trials ; probability =   7.08% ; megatrials/sec =  43.49
 6 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.39
 6 threads :       10 trials ; probability =  20.00% ; megatrials/sec =   3.44
 6 threads :      100 trials ; probability =  11.00% ; megatrials/sec =  18.46
 6 threads :     1000 trials ; probability =   7.70% ; megatrials/sec =  41.61
 6 threads :    10000 trials ; probability =   7.06% ; megatrials/sec =  46.27
 6 threads :   100000 trials ; probability =   7.00% ; megatrials/sec =  47.57
 6 threads :   500000 trials ; probability =   7.05% ; megatrials/sec =  56.97
 6 threads :  1000000 trials ; probability =   7.05% ; megatrials/sec =  64.30
 8 threads :        1 trials ; probability =   0.00% ; megatrials/sec =   0.41
 8 threads :       10 trials ; probability =   0.00% ; megatrials/sec =   3.02
 8 threads :      100 trials ; probability =  11.00% ; megatrials/sec =  24.74
 8 threads :     1000 trials ; probability =   6.40% ; megatrials/sec =  51.72
 8 threads :    10000 trials ; probability =   6.53% ; megatrials/sec =  51.36
 8 threads :   100000 trials ; probability =   6.99% ; megatrials/sec =  59.90
 8 threads :   500000 trials ; probability =   7.08% ; megatrials/sec =  61.41
 8 threads :  1000000 trials ; probability =   7.07% ; megatrials/sec =  62.31
